ARO Term	ARO Accession	Reference Model Type	Reference DB	Alleles with Mapped Reads	Reference Allele(s) Identity to CARD Reference Protein (%)	Resistomes & Variants: Observed in Genome(s)	Resistomes & Variants: Observed in Plasmid(s)	Resistomes & Variants: Observed Pathogen(s)	Completely Mapped Reads	Mapped Reads with Flanking Sequence	All Mapped Reads	Average Percent Coverage	Average Length Coverage (bp)	Average MAPQ (Completely Mapped Reads)	Number of Mapped Baits	Number of Mapped Baits with Reads	Average Number of reads per Bait	Number of reads per Bait Coefficient of Variation (%)	Number of reads mapping to baits and mapping to complete gene	Number of reads mapping to baits and mapping to complete gene (%)	Mate Pair Linkage (# reads)	Reference Length	AMR Gene Family	Drug Class	Resistance Mechanism	sample_id
OXA-666	3005878	protein homolog model	CARD	1	100.0	no data	no data	Bacteria, Viruses,	12.0	0.0	12.0	78.48	671.0	108.17	0	0	0	0				855	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-667	3005879	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter guillouiae	11.0	0.0	11.0	60.52	512.0	146.09	0	0	0	0				846	OXA beta-lactamase; OXA-274-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-732	3005937	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	16.0	0.0	16.0	100.0	801.0	188.31	0	0	0	0				801	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-727	3005932	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter	18.0	0.0	18.0	42.96	366.0	96.56	0	0	0	0				852	OXA beta-lactamase; OXA-727-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-734	3005939	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	7.0	0.0	7.0	6.3	52.0	43.71	0	0	0	0				825	OXA beta-lactamase; OXA-51-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-726	3005931	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas hydrophila	2.0	0.0	2.0	21.76	173.0	198.0	0	0	0	0				795	OXA beta-lactamase; OXA-12-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-796	3005996	protein homolog model	CARD	1	100.0	no data	no data	Proteus sp.	12.0	0.0	12.0	49.7	413.0	200.08	0	0	0	0				831	OXA beta-lactamase; OXA-1-like beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-786	3005989	protein homolog model	CARD	1	100.0	no data	no data	Campylobacter jejuni	24.0	0.0	24.0	15.32	114.0	84.42	0	0	0	0				744	OXA beta-lactamase; OXA-61-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-675	3005883	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	49.0	0.0	49.0	57.88	481.0	78.29	0	0	0	0				831	OXA beta-lactamase; OXA-1-like beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-815	3006014	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter radioresistens	4.0	0.0	4.0	6.57	54.0	48.5	0	0	0	0				822	OXA beta-lactamase; OXA-23-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-824	3006022	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	1.0	0.0	1.0	9.49	76.0	0.0	0	0	0	0				801	OXA beta-lactamase; OXA-10-like beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-839	3006033	protein homolog model	CARD	1	100.0	no data	no data	Achromobacter xylosoxidans	2.0	0.0	2.0	2.54	21.0	34.0	0	0	0	0				828	OXA beta-lactamase; OXA-114-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-896	3006087	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter cloacae	10.0	0.0	10.0	48.48	400.0	102.5	0	0	0	0				825	OXA beta-lactamase; OXA-9-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-912	3006099	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas	37.0	0.0	37.0	28.55	227.0	71.51	0	0	0	0				795	OXA beta-lactamase; OXA-12-like beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-900	3006088	protein homolog model	CARD	1	100.0	no data	no data	Citrobacter freundii	2.0	0.0	2.0	29.77	242.0	199.0	0	0	0	0				813	OXA beta-lactamase	penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-917	3006103	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	20.0	0.0	20.0	100.0	795.0	138.6	0	0	0	0				795	OXA beta-lactamase; OXA-427-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713331
OXA-947	3006126	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter lactucae	4.0	0.0	4.0	12.08	100.0	48.0	0	0	0	0				828	OXA beta-lactamase; OXA-679-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713331
PAU-1	3006964	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	41.0	0.0	41.0	95.01	838.0	184.37	0	0	0	0				882	PAU beta-lactamase	carbapenem; cephalosporin	antibiotic inactivation	ERR1713331
PDC-228	3006607	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	2.0	0.0	2.0	6.45	77.0	62.0	0	0	0	0				1194	PDC beta-lactamase	monobactam; carbapenem; cephalosporin	antibiotic inactivation	ERR1713331
PDC-133	3006510	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	36.0	0.0	36.0	43.97	525.0	86.31	0	0	0	0				1194	PDC beta-lactamase	monobactam; carbapenem; cephalosporin	antibiotic inactivation	ERR1713331
PDC-263	3006640	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	3.0	0.0	3.0	3.43	41.0	41.33	0	0	0	0				1194	PDC beta-lactamase	monobactam; carbapenem; cephalosporin	antibiotic inactivation	ERR1713331
PLA-2a	3006969	protein homolog model	CARD	1	100.0	no data	no data	Raoultella planticola	2.0	0.0	2.0	34.13	299.0	179.5	0	0	0	0				876	PLA beta-lactamase	carbapenem; cephalosporin	antibiotic inactivation	ERR1713331
RUB-1	3006984	protein homolog model	CARD	1	100.0	no data	no data	Serratia rubidaea	21.0	0.0	21.0	7.49	64.0	77.57	0	0	0	0				855	RUB beta-lactamase	cephalosporin	antibiotic inactivation	ERR1713331
RSD2-1	3006982	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	9.0	0.0	9.0	78.81	610.0	167.33	0	0	0	0				774	RSD2 beta-lactamase	carbapenem; cephalosporin	antibiotic inactivation	ERR1713331
RSD2-2	3006983	protein homolog model	CARD	1	100.0	no data	no data	uncultured bacterium	4.0	0.0	4.0	31.62	240.0	200.0	0	0	0	0				759	RSD2 beta-lactamase	carbapenem; cephalosporin	antibiotic inactivation	ERR1713331
SGM-6	3006992	protein homolog model	CARD	1	100.0	no data	no data	Bacteria, Viruses,	16.0	0.0	16.0	36.9	362.0	82.19	0	0	0	0				981	SGM beta-lactamase	carbapenem	antibiotic inactivation	ERR1713331
SPR-1	3006996	protein homolog model	CARD	1	100.0	no data	no data	Bacteria, Viruses,	2.0	0.0	2.0	33.33	299.0	115.5	0	0	0	0				897	SPR beta-lactamase	carbapenem	antibiotic inactivation	ERR1713331
VEB-21	3006216	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter calcoaceticus/baumannii	36.0	0.0	36.0	90.89	818.0	185.36	0	0	0	0				900	VEB beta-lactamase	monobactam; cephalosporin	antibiotic inactivation	ERR1713331
SGM-7	3006993	protein homolog model	CARD	1	100.0	no data	no data	Bacteria, Viruses,	37.0	0.0	37.0	33.33	327.0	81.22	0	0	0	0				981	SGM beta-lactamase	carbapenem	antibiotic inactivation	ERR1713331
VIM-54	3005502	protein homolog model	CARD	1	100.0	no data	no data	Serratia marcescens	4.0	0.0	4.0	27.22	218.0	183.25	0	0	0	0				801	VIM beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
mdeA	3007011	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus mutans	7.0	0.0	7.0	23.86	325.0	88.14	0	0	0	0				1362	major facilitator superfamily (MFS) antibiotic efflux pump	fluoroquinolone antibiotic; aminoglycoside antibiotic; penicillin beta-lactam; tetracycline antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ERR1713331
Limosilactobacillus reuteri cat-TC	3002671	protein homolog model	CARD	1	100.0	no data	no data	Limosilactobacillus reuteri	5.0	0.0	5.0	51.6	370.0	185.8	0	0	0	0				717	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation	ERR1713331
qacG	3007015	protein homolog model	CARD	1	100.0	no data	no data	Bacteria, Viruses,	1.0	0.0	1.0	9.57	31.0	68.0	0	0	0	0				324	small multidrug resistance (SMR) antibiotic efflux pump	disinfecting agents and antiseptics	antibiotic efflux	ERR1713331
MexG	3000806	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	7.0	0.0	7.0	55.48	248.0	68.0	0	0	0	0				447			antibiotic efflux	ERR1713331
TolC	3000237	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	71.0	0.0	71.0	96.91	1442.0	172.61	0	0	0	0				1488	ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ERR1713331
Bifidobacterium bifidum ileS conferring resistance to mupirocin	3003730	protein homolog model	CARD	1	100.0	no data	no data	Bifidobacterium bifidum	348.0	0.0	348.0	98.1	3261.0	143.1	0	0	0	0				3324	antibiotic-resistant isoleucyl-tRNA synthetase (ileS)	mupirocin-like antibiotic	antibiotic target alteration	ERR1713331
MexI	3000808	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	192.0	0.0	192.0	77.57	2397.0	99.05	0	0	0	0				3090	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ERR1713331
Erm(44)v	3003971	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus xylosus	3.0	0.0	3.0	4.1	30.0	37.67	0	0	0	0				732	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	ERR1713331
YojI	3003952	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	94.0	0.0	94.0	100.0	1644.0	185.34	0	0	0	0				1644	ATP-binding cassette (ABC) antibiotic efflux pump	peptide antibiotic	antibiotic efflux	ERR1713331
Bifidobacterium adolescentis rpoB mutants conferring resistance to rifampicin	3004480	protein homolog model	CARD	1	100.0	no data	no data	Bifidobacterium adolescentis	1593.0	0.0	1593.0	100.0	3561.0	128.2	0	0	0	0				3561	rifamycin-resistant beta-subunit of RNA polymerase (rpoB)	rifamycin antibiotic	antibiotic target alteration; antibiotic target replacement	ERR1713331
MCR-3.17	3007278	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas	5.0	0.0	5.0	31.05	504.0	195.6	0	0	0	0				1623	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	ERR1713331
salB	3007026	protein homolog model	CARD	1	100.0	no data	no data	Mammaliicoccus lentus	4.0	0.0	4.0	11.93	194.0	59.5	0	0	0	0				1626	sal-type ABC-F protein	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic	antibiotic target protection	ERR1713331
vanR gene in vanN cluster	3002929	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	12.0	0.0	12.0	45.45	315.0	58.83	0	0	0	0				693	glycopeptide resistance gene cluster; vanR	glycopeptide antibiotic	antibiotic target alteration	ERR1713331
vanW gene in vanG cluster	3002965	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	3.0	0.0	3.0	26.36	223.0	139.33	0	0	0	0				846	vanW; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration	ERR1713331
vanR gene in vanO cluster	3002930	protein homolog model	CARD	1	100.0	no data	no data	Rhodococcus hoagii	17.0	0.0	17.0	94.3	662.0	116.65	0	0	0	0				702	glycopeptide resistance gene cluster; vanR	glycopeptide antibiotic	antibiotic target alteration	ERR1713331
vanW gene in vanI cluster	3003724	protein homolog model	CARD	1	100.0	no data	no data	Desulfitobacterium hafniense	1.0	0.0	1.0	2.23	25.0	46.0	0	0	0	0				1122	vanW; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration	ERR1713331
Erm(51)	3007033	protein homolog model	CARD	1	100.0	no data	no data	Rhodococcus hoagii	4.0	0.0	4.0	50.63	401.0	189.0	0	0	0	0				792	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic; streptogramin B antibiotic	antibiotic target alteration	ERR1713331
Erm(52)	3007041	protein homolog model	CARD	1	100.0	no data	no data	Clostridioides difficile	12.0	0.0	12.0	98.6	917.0	174.58	0	0	0	0				930	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic; lincosamide antibiotic; streptogramin antibiotic	antibiotic target alteration	ERR1713331
nimD	3007106	protein homolog model	CARD	1	100.0	no data	no data	Bacteroides fragilis	3.0	0.0	3.0	23.43	116.0	78.33	0	0	0	0				495	nitroimidazole reductase	nitroimidazole antibiotic	antibiotic inactivation	ERR1713331
OXA-647	3005337	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter lwoffii	2.0	0.0	2.0	9.85	81.0	162.0	0	0	0	0				822	OXA beta-lactamase; OXA-134-like beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713331
msr(I)	3007043	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus pyogenes	70.0	0.0	70.0	60.84	887.0	179.81	0	0	0	0				1458	msr-type ABC-F protein	macrolide antibiotic; streptogramin antibiotic; phosphonic acid antibiotic	antibiotic target protection	ERR1713331
mef(J)	3007049	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus pyogenes	166.0	0.0	166.0	100.0	1194.0	192.99	0	0	0	0				1194	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux	ERR1713331
lsaD	3005121	protein homolog model	CARD	1	100.0	no data	no data	Lactococcus garvieae	8.0	0.0	8.0	27.64	413.0	99.62	0	0	0	0				1494	lsa-type ABC-F protein	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic	antibiotic target protection	ERR1713331
mef(H)	3007047	protein homolog model	CARD	1	100.0	no data	no data	Clostridioides difficile	7.0	0.0	7.0	34.55	114.0	57.86	0	0	0	0				330	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux	ERR1713331
FosM3	3007099	protein homolog model	CARD	1	100.0	no data	no data	Bacillus phocaeensis	2.0	0.0	2.0	13.99	60.0	50.5	0	0	0	0				429	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation	ERR1713331
LnuH	3004600	protein homolog model	CARD	1	100.0	no data	no data	Riemerella anatipestifer	150.0	0.0	150.0	100.0	783.0	168.01	0	0	0	0				783	lincosamide nucleotidyltransferase (LNU)	lincosamide antibiotic	antibiotic inactivation	ERR1713331
tet(O/32/O)	3007119	protein homolog model	CARD	1	100.0	no data	no data	Clostridiaceae bacterium	105.0	0.0	105.0	71.25	1368.0	197.66	0	0	0	0				1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	ERR1713331
tet(O/W)	3007121	protein homolog model	CARD	1	100.0	no data	no data	Megasphaera elsdenii	85.0	0.0	85.0	83.18	1597.0	194.12	0	0	0	0				1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	ERR1713331
tet(O/M/O)	3007120	protein homolog model	CARD	1	100.0	no data	no data	Campylobacter coli	84.0	0.0	84.0	44.22	849.0	197.4	0	0	0	0				1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	ERR1713331
tet(O/W/32/O)	3007122	protein homolog model	CARD	1	100.0	no data	no data	Lactobacillus johnsonii	113.0	0.0	113.0	51.51	989.0	198.45	0	0	0	0				1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	ERR1713331
tet(X6)	3005056	protein homolog model	CARD	1	100.0	no data	no data	Proteus genomosp.	4.0	0.0	4.0	31.05	353.0	160.75	0	0	0	0				1137	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation	ERR1713331
tet(W/32/O)	3007124	protein homolog model	CARD	1	100.0	no data	no data	Trueperella pyogenes	18.0	0.0	18.0	54.84	1053.0	167.33	0	0	0	0				1920	tetracycline-resistant ribosomal protection protein	tetracycline antibiotic	antibiotic target protection	ERR1713331
tet(X3)	3004719	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	13.0	0.0	13.0	88.0	1027.0	186.69	0	0	0	0				1167	tetracycline inactivation enzyme	glycylcycline; tetracycline antibiotic	antibiotic inactivation	ERR1713331
mcr-10.1	3007137	protein homolog model	CARD	1	100.0	no data	no data	Enterobacter roggenkampii	12.0	0.0	12.0	34.75	563.0	134.0	0	0	0	0				1620	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	ERR1713331
tet(X1)	3005166	protein homolog model	CARD	1	100.0	no data	no data	Bacteroides thetaiotaomicron	3.0	0.0	3.0	33.15	358.0	147.0	0	0	0	0				1080	tetracycline inactivation enzyme	tetracycline antibiotic	antibiotic inactivation	ERR1713331
vanH gene in vanP cluster	3007188	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	3.0	0.0	3.0	11.32	107.0	45.0	0	0	0	0				945	vanH; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration	ERR1713331
vanS gene in vanP cluster	3007192	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecium	7.0	0.0	7.0	20.56	222.0	44.71	0	0	0	0				1080	vanS; glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration	ERR1713331
AAC(6')-Ie-APH(2'')-Ia bifunctional protein	3002597	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus aureus	77.0	0.0	77.0	95.28	1372.0	190.9	0	0	0	0				1440	aminoglycoside bifunctional resistance protein	aminoglycoside antibiotic	antibiotic inactivation	ERR1713331
MCR-5.4	3007281	protein homolog model	CARD	1	100.0	no data	no data	hospital metagenome	7.0	0.0	7.0	30.11	495.0	171.29	0	0	0	0				1644	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	ERR1713331
HelR	3007208	protein homolog model	CARD	1	100.0	no data	no data	Streptomyces venezuelae	15.0	0.0	15.0	47.58	1032.0	100.27	0	0	0	0				2169	helicase-like RNA polymerase protection protein	rifamycin antibiotic	antibiotic target protection	ERR1713331
MCR-3.33	3007248	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas jandaei	1.0	0.0	1.0	8.69	141.0	198.0	0	0	0	0				1623	MCR phosphoethanolamine transferase	peptide antibiotic	antibiotic target alteration	ERR1713331
FosXCC	3003208	protein homolog model	CARD	1	100.0	no data	no data	Campylobacter coli	3.0	0.0	3.0	58.45	249.0	178.0	0	0	0	0				426	fosfomycin thiol transferase	phosphonic acid antibiotic	antibiotic inactivation	ERR1713331
PJM-1	3007374	protein homolog model	CARD	1	100.0	no data	no data	Pseudoxanthomonas japonensis	7.0	0.0	7.0	60.15	545.0	150.71	0	0	0	0				906	PJM beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
ANT(9)-Ib	3007401	protein homolog model	CARD	1	100.0	no data	no data	Enterococcus faecalis	9.0	0.0	9.0	8.2	63.0	79.56	0	0	0	0				768	ANT(9)	aminoglycoside antibiotic	antibiotic inactivation	ERR1713331
PFM-4	3007021	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas sp.	12.0	0.0	12.0	86.35	658.0	139.33	0	0	0	0				762	PFM beta-lactamase	carbapenem	antibiotic inactivation	ERR1713331
leuO	3003843	protein homolog model	CARD	1	100.0	no data	no data	Escherichia coli	56.0	0.0	56.0	100.0	945.0	184.59	0	0	0	0				945	major facilitator superfamily (MFS) antibiotic efflux pump	nucleoside antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ERR1713331
AAC(6')-30/AAC(6')-Ib' bifunctional protein	3002599	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas aeruginosa	1.0	0.0	1.0	15.3	151.0	201.0	0	0	0	0				987	aminoglycoside bifunctional resistance protein	aminoglycoside antibiotic	antibiotic inactivation	ERR1713331
Mrx	3003839	protein homolog model	CARD	1	100.0	no data	no data	Aeromonas hydrophila	73.0	0.0	73.0	100.0	1239.0	198.95	0	0	0	0				1239	macrolide phosphotransferase (MPH)	macrolide antibiotic	antibiotic inactivation	ERR1713331
ANT(3'')-II-AAC(6')-IId bifunctional protein	3002598	protein homolog model	CARD	1	100.0	no data	no data	Serratia marcescens	200.0	0.0	200.0	99.28	1382.0	191.38	0	0	0	0				1392	aminoglycoside bifunctional resistance protein	aminoglycoside antibiotic	antibiotic inactivation	ERR1713331
tet(63)	3007493	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus aureus	7.0	0.0	7.0	8.84	122.0	61.0	0	0	0	0				1380	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	ERR1713331
Shigella flexneri acrA	3007509	protein homolog model	CARD	1	100.0	no data	no data	Shigella flexneri	1.0	0.0	1.0	12.65	151.0	201.0	0	0	0	0				1194	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic; cephalosporin; glycylcycline; penicillin beta-lactam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics	antibiotic efflux	ERR1713331
WUS-1	3007435	protein homolog model	CARD	1	100.0	no data	no data	Myroides albus	5.0	0.0	5.0	10.12	75.0	57.4	0	0	0	0				741	WUS beta-lactamase	carbapenem; penicillin beta-lactam	antibiotic inactivation	ERR1713331
LAQ-1	3007438	protein homolog model	CARD	1	100.0	no data	no data	Lelliottia amnigena	19.0	0.0	19.0	30.97	354.0	115.26	0	0	0	0				1143	LAQ beta lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
cfrE	3005023	protein homolog model	CARD	1	100.0	no data	no data	Clostridium sp.	3.0	0.0	3.0	22.71	235.0	186.67	0	0	0	0				1035	Cfr 23S ribosomal RNA methyltransferase	lincosamide antibiotic; streptogramin antibiotic; oxazolidinone antibiotic; phenicol antibiotic; pleuromutilin antibiotic	antibiotic target alteration	ERR1713331
EstT	3007459	protein homolog model	CARD	1	100.0	no data	no data	Sphingobacterium faecium	27.0	0.0	27.0	21.93	202.0	70.59	0	0	0	0				921	macrolide esterase	macrolide antibiotic	antibiotic inactivation	ERR1713331
EBR-5	3007437	protein homolog model	CARD	1	100.0	no data	no data	Empedobacter stercoris	16.0	0.0	16.0	7.09	50.0	51.31	0	0	0	0				705	EBR beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
IND-17	3007470	protein homolog model	CARD	1	100.0	no data	no data	Chryseobacterium sp.	6.0	0.0	6.0	24.01	175.0	44.5	0	0	0	0				729	IND beta-lactamase	carbapenem	antibiotic inactivation	ERR1713331
dfrL	3007456	protein homolog model	CARD	1	100.0	no data	no data	Staphylococcus aureus	4.0	0.0	4.0	37.97	221.0	70.5	0	0	0	0				582	trimethoprim resistant dihydrofolate reductase dfr	aminoglycoside antibiotic; tetracycline antibiotic; diaminopyrimidine antibiotic	antibiotic target replacement	ERR1713331
IMP-95	3007465	protein homolog model	CARD	1	100.0	no data	no data	Acinetobacter baumannii	1.0	0.0	1.0	4.99	37.0	34.0	0	0	0	0				741	IMP beta-lactamase	carbapenem; cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
RAD-1	3007483	protein homolog model	CARD	1	100.0	no data	no data	Riemerella anatipestifer	18.0	0.0	18.0	17.12	133.0	56.11	0	0	0	0				777	RAD beta-lactamase	carbapenem; cephalosporin	antibiotic inactivation	ERR1713331
mef(C)	3003745	protein homolog model	CARD	1	100.0	no data	no data	Photobacterium damselae	214.0	0.0	214.0	100.0	1224.0	178.52	0	0	0	0				1224	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic; tetracycline antibiotic	antibiotic efflux	ERR1713331
mef(E)	3000614	protein homolog model	CARD	1	100.0	no data	no data	Streptococcus pneumoniae	8.0	0.0	8.0	57.76	700.0	132.62	0	0	0	0				1212	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux	ERR1713331
mef(F)	3007044	protein homolog model	CARD	1	100.0	no data	no data	Macrococcus canis	4.0	0.0	4.0	25.38	303.0	121.5	0	0	0	0				1194	major facilitator superfamily (MFS) antibiotic efflux pump	macrolide antibiotic	antibiotic efflux	ERR1713331
CAE-1	3007635	protein homolog model	CARD	1	100.0	no data	no data	Comamonas aquatica	46.0	0.0	46.0	74.92	681.0	78.83	0	0	0	0				909	CAE beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
Clostridioides difficile cplR	3007637	protein homolog model	CARD	1	100.0	no data	no data	Clostridioides difficile	18.0	0.0	18.0	19.12	316.0	80.44	0	0	0	0				1653	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; nucleoside antibiotic	antibiotic target protection	ERR1713331
Clostridium perfringes cplR	3007644	protein homolog model	CARD	1	100.0	no data	no data	Clostridium perfringens	9.0	0.0	9.0	4.51	77.0	49.0	0	0	0	0				1707	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	lincosamide antibiotic; streptogramin antibiotic; streptogramin A antibiotic; pleuromutilin antibiotic	antibiotic target protection	ERR1713331
Clostridium sporogenes cplR	3007645	protein homolog model	CARD	1	100.0	no data	no data	Clostridium sporogenes	30.0	0.0	30.0	30.8	511.0	73.73	0	0	0	0				1659	Miscellaneous ABC-F subfamily ATP-binding cassette ribosomal protection proteins	lincosamide antibiotic; antibiotic without defined classification; pleuromutilin antibiotic	antibiotic target protection	ERR1713331
PSZ-1	3007648	protein homolog model	CARD	1	100.0	no data	no data	Pantoea sp.	6.0	0.0	6.0	32.19	367.0	107.67	0	0	0	0				1140	PSZ beta-lactamase	cephalosporin; penicillin beta-lactam	antibiotic inactivation	ERR1713331
dfrB10	3007489	protein homolog model	CARD	1	100.0	no data	no data	Pseudomonas putida	1.0	0.0	1.0	63.71	151.0	169.0	0	0	0	0				237	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement	ERR1713331
putative nickel/cobalt transporter	3007659	protein homolog model	CARD	1	100.0	no data	no data	Mycobacterium tuberculosis	7.0	0.0	7.0	37.18	416.0	109.71	0	0	0	0				1119	metal transporters with antibiotic efflux	fluoroquinolone antibiotic; aminoglycoside antibiotic; isoniazid-like antibiotic	antibiotic efflux	ERR1713331
